NIM,Program Studi,Sebutkan kategori jenis pekerjaan yang Anda lakukan di tempat bekerja!,Jelaskan tugas-tugas utama dalam pekerjaan Anda saat ini?,Apakah pekerjaan yang Anda lakukan di tempat bekerja sesuai dengan bidang keilmuan?,Seberapa erat hubungan bidang studi dengan pekerjaan Anda?,Seberapa besar program studi Anda bermanfaat untuk hal-hal di bawah ini? [pembelajaran yang berkelanjutan dalam pekerjaan],Bidang usaha bekerja,Organisasi apa yang paling aktif Anda ikuti selama menjalani perkuliahan? (nama organisasi),IP,Sebutkan jenis kegiatan di organisasi yang aktif diikuti yang membantu mengasah kemampuan/skill Anda!,Seberapa besar program studi Anda bermanfaat untuk hal-hal di bawah ini? [memulai pekerjaan]
12216075,Teknik Perminyakan,procurement,,tidak,item3,4,B,IYOIN LC BANDUNG,3.28,time and people management,4
12216076,Teknik Perminyakan,Asset Liability Management,,ya,item5,5,M,HMTM PATRA ITB,3.5,Kaderisasi,5
12216077,Teknik Perminyakan,Reservoir,,ya,item1,4,D,SPE ITB SC,3.58,"meeting, presentasi dan teamwork",4
12216078,Teknik Perminyakan,Engineering,Menjaga operasional pabrik dengan me-maintain semua equipment/sparepart dan consumable,tidak,item5,1,C,KMB,3.28,-,2
12216079,Teknik Perminyakan,risk management,,tidak,item5,4,K,HMTM PATRA ITB,3.65,FGD,4
12216080,Teknik Perminyakan,Engineering,,ya,item1,5,B,Society of Petroleum Engineers ITB student chapter,3.79,Field and Company Trip,5
12216081,Teknik Perminyakan,-,,tidak,item4,4,M,"HMTM ""PATRA"" ITB",3.39,-,4
12216083,Teknik Perminyakan,Design for cementing job,Simulasi Cementing pada oil and gas,ya,item1,5,B,"UKMR, HMTM PATRA ITB, IATMI SM ITB",3.83,Forum,4
12216084,Teknik Perminyakan,PPIC,"Manajemen distribusi rantai pasok, production planning, inventory control, team management",tidak,item4,2,I,"HMTM ""PATRA"" ITB",3.62,IPFest & Senator,4
12216085,Teknik Perminyakan,,,ya,item1,5,D,"HMTM Patra ITB, IATMI SM ITB, ITB Jazz",3.22,"Konser ITB Jazz, segala aktivitas IATMI SM ITB dan HMTM Patra ITB",5
12216089,Teknik Perminyakan,,"- Memberikan layanan logging dan perforasi untuk client kami yaitu perusahaan-perusahaan minyak, gas dan geotermal
- Menjadi supervisor di lapangan untuk satu tim kecil crew yang membantu dalam pengoperasian alat-alat logging
- Berkomunikasi langsung dengan client's representative di lapangan dan bekerja sama dengan personel dari service company lain
- Mengerjakan paperworks (field ticket, laporan, berita acara, checklist, dll) untuk setiap job yang dilakukan
- Melakukan pengecekan dan kalibrasi alat logging di shop",,,2,,IATMI SM ITB,3.1,Memimpin orang2 dan kegiatan di organisasi tsb > mengasah leadership skill,2
12216090,Teknik Perminyakan,Management Consulting,Melakukan koordinasi dan memberikan rekomendasi terhadap masalah yang dihadapi klien,tidak,item4,4,M,"PATRA, SPE ITB ",3.68,"Field Trip, Seminar, Workshop",4
12216091,Teknik Perminyakan,Engineer,Operasional pengeboran migas,ya,item1,4,B,SPE ITB SC,3.78,Guest Lecture,5
12216092,Teknik Perminyakan,Product Management,"â–ª Developed QLola by BRI an integrated corporate solution platform for wholesale segment
â–ª Determined product vision and roadmap
â–ª Analyzed customer needs (market research & analytics, competitor intelligence analysis, FGD & interview)
â–ª Developed product innovation (features, user experience)
â–ª Created user story, user acceptance criteria (UAC), DOR, DOD
â–ª Created marketing plan including the pre-launching, launching, and 
brand activation",tidak,item4,4,K,Unit budaya lampung ITB,3.88,Menjadi panitia dan pengurus,4
12216093,Teknik Perminyakan,Engineering,Mengerjakan jobdesc,ya,item3,5,B,patra,3.71,Proker,4
12216094,Teknik Perminyakan,,Berhubungan dengan stakeholder dan external parties (terutama kementerian) dalam hal pengurusan perizinan terkait dengan lingkungan dalam dunia pertambangan (mine permit).,,,4,,SPE ITB SC & HMTM PATRA ITB,3.39,,2
12216095,Teknik Perminyakan,Risk Management,Melakukan Risk Assesment dan Risk Mitigation terhadap proposal kredit.,tidak,item5,2,K,IATMI SM ITB,3.38,"Mengadakan Event, Kunjungan ke perusahaan.",2
12216096,Teknik Perminyakan,Analisis & Interpretasi,,ya,item1,5,B,Society of Petroleum Engineers,3.75,Workshop & Field Trip,5
12216097,Teknik Perminyakan,"Main: Oil & Gas Exploitation:  Production Engineering  Oil & Gas Data Management Quantity Assurance Work-Program Planning, Management & Budgeting","Main: Oil & Gas Exploitation 
Production Engineering 
Oil & Gas Data Management
Quantity Assurance
Work-Program Planning, Management & Budgeting",ya,item1,5,B,"HMTM ""PATRA"" ITB",3.66,"menjabat di struktural organisasi badan pengurus dan kepanitiaan event/project, workshop-sosialisasi, studi banding. ",5
12216098,Teknik Perminyakan,Surveillance,,ya,item1,4,B,SPE ITB SC,3.88,"Training, Kompetisi, Workshop",4
12216099,Teknik Perminyakan,Business Strategist,"1. Menganalisis tren pasar (saat ini) dengan melakukan analisis akar penyebab dan pemecah masalah
2. Memberikan laporan komprehensif terkait pertumbuhan user, retensi dan pendapatan kepada pemangku kepentingan C-Level 
3. Mengelola perjalanan pelanggan agar berjalan dengan baik, mulai dari mengenalkan produk hingga produk berhasil dibeli berulang kali
4. Memimpin tim pemasaran: menjalankan beberapa program dan acara dengan hasil luar biasa",tidak,item3,5,B, IATMI SM ITB,3.21,"Guest Lecture, Field Trip/ Company Visit",5
12216100,Teknik Perminyakan,Pengadaan,Mensupport pelaksanaan Tender Perusahaan,tidak,item3,4,S,"HMTM ""PATRA"" ITB",3.53,Kaderisasi,5
12316001,Teknik Geofisika,Perminyakan,Mengeksekusi pekerjaan di lapangan pengeboran,tidak,,2,B,Pelita Muda,3.03,Kembara Pelita Muda,2
12316002,Teknik Geofisika,Non profit donor project,Merancang dan melakukan survey kualitatif dan kuantitatif terhadap petani dan peternak di Indonesia khususnya bagian timur serta melakukan pengolahan hingga interpretasi hasil survey,tidak,,2,U,HIMATG â€œTERRAâ€ ITB,3.08,menjadi ketua kaderisasi,2
12316004,Teknik Geofisika,Merancang pembelajaran geografi yang sesuai dengan siswa kelas 11-12,Mengajar geografi SMA,tidak,item3,4,P,UATM,3.21,kepelatihan dan pengurusan urusan internal (hal ini juga diterapkan di TERRA),2
12316005,Teknik Geofisika,Sales Engineer,IT Sales Engineer,tidak,item5,1,J,Himpunan Mahasiswa Teknik Geofisika â€œTERRAâ€ ITB,3.24,Forum diskusi,1
12316006,Teknik Geofisika,,,,,4,,Himpunan Mahasiswa Teknik Geofisika TERRA ITB,3.14,"Seminar, Company Visit",2
12316008,Teknik Geofisika,Perencanaan,melakukan perencanaan untuk strategi media bagi klien untuk mencapai marketing goal.,tidak,,5,R,HIMA TG TERRA ITB,3.38,Pelatihan ,5
12316010,Teknik Geofisika,Data Analyst Hulu Migas,Oil and gas upstream data governance,ya,item3,4,J,Ekspedisi DK AMI,3.39,Ekspedisi sosialisasi pendidikan tinggi ke daerah 3T,2
12316012,Teknik Geofisika,gatau,,tidak,,2,K,TERRA,3.01,banyak,1
12316015,Teknik Geofisika,-,Melakukan pengawasan terhadap implementasi Sistem Manajemen Keselamatan dan kesehatan Kerja (SMK3),tidak,item4,2,C,Keluarga Mahasiswa Buddhis Dhammanano,2.93,Program Penerimaan Anggota Baru,2
12316017,Teknik Geofisika,Product Analyst,Analisis data untuk menentukan keputusan perusahaan,tidak,item5,2,K,"HIMA TG ""TERRA"", KGMC ITB. OSKM ITB",3.6,"Memimpin tim, berbicara di depan umum",2
12316020,Teknik Geofisika,Konsultan Geosains dan Oseanografi ,"Desain survey, akuisis, pengolahan data geofisika.
Penyusunan proposal pekerjaan ",ya,,4,M,"Keluarga Mahasiswa Pecinta Alam ""Ganesha"" ITB",3.04,"Kemampuan di alam luar, dan kemasyarakatan, yg berguna saat masuk kedunia kerja dibidang geofisika",4
12316021,Teknik Geofisika,Exploration and mining prospecting ,,ya,,4,B,HIMATG-TERRA ITB,3.64,"Ketua Wisuda Aprill 2017, Panitia Kaderisasi",4
12316022,Teknik Geofisika,Operational,-,tidak,item5,2,C,KMB,2.92,-,2
12316023,Teknik Geofisika,Perbankan,Create Organization Development,tidak,,1,K,HIMA TG TERRA ITB,3.46,Banyak,2
12316025,Teknik Geofisika,Software programmer,membuat software ,tidak,,1,D,HIMA TG TERRA ITB,3.38,tutor,2
12316029,Teknik Geofisika,Periklanan dan Media,,tidak,,2,S,"HIMA TG ""TERRA"" ITB",3.55,Forum,2
12316030,Teknik Geofisika,Manajemen,,tidak,item5,1,G,TERRA,3.07,Ketua Bidang Pengembangan,1
12316031,Teknik Geofisika,Konsultan Geoteknik,Memberikan konsultasi terhadap permasalahan pembangunan.,ya,,2,M,"HIMA TG ""TERRA"" ITB",2.93,"Pelatihan software yang digunakan di program studi, pelatihan penulisan karya ilmiah, pelatihan soft skill, pengaplikasian soft skill dengan memegang jabatan di himpunan",4
12316033,Teknik Geofisika,Sales,Sales B2B,tidak,,2,D,"Himpunan Mahasiswa Teknik Geofisika ""TERRA"" ITB",2.94,"Kaderisasi, Pengmas, Malam Keakraban, dll.",2
12316037,Teknik Geofisika,E-commerce,,tidak,item5,2,J,"HIMA TG ""TERRA"" ITB",3.3,Berpikir kritis dan problem solving,2
12316039,Teknik Geofisika,Engineering,Masih dalam tahap training untuk engineering perusahaan batubara,ya,,4,B,"HIMA TG ""TERRA"" ITB",3.08,Seluruhnya,4
12316043,Teknik Geofisika,"Administratif, perijinan, regulatif.",Mengelola data hilir migas juga penyerahan data tersebut dari dan ke perusahaan swasta.,ya,,2,O,"HIMATG ""TERRA"" ITB",3.1,Bimbingan belajar,2
12316046,Teknik Geofisika,Heeee,Geophysics,ya,,4,E,TERRA,3.14,Lupa pakk,4
12316048,Teknik Geofisika,Sales,Memastikan proses penjualan produk berjalan dengan baik,tidak,,4,D,"HIMA TG ""TERRA"" ITB",3.47,"Kepanitiaan acara, pernah menjadi Bendahara, Kepala Divisi, Master of Ceremony (MC)",2
12316049,Teknik Geofisika,,Pengambilan dan data gas pipa PGN bawah tanah untuk mendeteksi kerusakan lapisan.,,,4,,"HIMA TG ""TERRA"" ITB",2.86,Divisi kerohanian ,2
12316052,Teknik Geofisika,Analis Tambang,"Mengatur equipment alat berat di pertambangan dapat bekerja efektif
Mengontrol dan menganalisis produksi material sesuai dengan target 
Menganalisis performance alat berat dalam kegiatan tambang
Membuat ekternal memo dan berita acara ketika ada perpindahan alat berat dari proyek satu ke proyek lainnya.",tidak,item3,4,B,Himpunan Mahasiswa Jurusan,3.16,"Bakti Sosial, Company visit dan Orientasi Jurusan",4
12316053,Teknik Geofisika,,,,,2,,Terra,3.38,Terra,2
12316054,Teknik Geofisika,Sales Operation,,tidak,item5,4,J,"HIMA TG TERRA ITB, Kabinet KM ITB",3.36,Kepanitiaan Wisuda Terpusat,4
12316055,Teknik Geofisika,Purna waktu,Menganalisis data dan mengekstraksi insight dari data tersebut kemudian didiskusikan dengan stakeholder untuk pengambilan keputusan,tidak,item4,2,J,"HIMA TG ""TERRA"" ITB",3.82,Kegiatan himpunan seputar pengembangan keilmuan,1
12316056,Teknik Geofisika,Hidrogeologi,"Sedang dalam program Management Trainee, lebih spesifik untuk departemen Project Development. Saat ini sedang ditugaskan untuk belajar mengenai project Underground Mining di salah  satu site milik perusahaan, utamanya mempelajari tentang Hidrogeologi.",ya,,2,B,HIMA TG â€œTERRAâ€ ITB,3.58,Kaderisasi & seminar,2
12316059,Teknik Geofisika,Marketing,"supply chain, marketing",tidak,,2,I,"HIMA TG TERRA ITB , MGG, KMH",3.22,MAKRAB (malam kebersamaan) ,2
12516001,Teknik Metalurgi,Insinyur proses,Kontrol & evaluasi keberjalanan pabrik pengolahan emas (CIL & merrill-crowe),ya,item1,4,B,Ikatan Mahasiswa Teknik Metalurgi (IMMG) ITB,3.27,Kegiatan yang berikatan dengan keprofesian metalurgi,4
12516002,Teknik Metalurgi,Metallurgist,Metalurgi,ya,item1,4,B,Ikatan Mahasiswa Teknik Metalurgi,3.46,Proker Departemen,4
12516004,Teknik Metalurgi,Metallurgist,,ya,item1,4,B,Kokesma ITB,3.46,Pakdumaru,4
12516005,Teknik Metalurgi,Kalibrasi alat,Memastikan kualitas produk,ya,,4,C,Himpunan program studi,3.22,Latihan Rutin,4
12516007,Teknik Metalurgi,Pengendalian produksi,Menyiapkan production line untuk battery pack PLN,ya,item4,4,D,IMMG-ITB,3.3,Program Pengembangan Anggota Baru (PPAB) atau setara kaderisasi,4
12516008,Teknik Metalurgi,"Planning, organizing, actuating, controlling","Head Office, monitoring aktivitas cabang",tidak,item4,4,G,UKSS,3.32,IMMG,4
12516010,Teknik Metalurgi,Engineering,"Optimasi produksi dari segi cost saving material, buat sop produksi dan monitoring rutin",ya,item1,5,C,Immg,3.79,"Badan pengurus, wisokto, wispril, acara angkatan",5
12516011,Teknik Metalurgi,Manajemen,Manajemen anggota,ya,item5,5,C,Musi ITB,3.56,Musyawarah kerja,2
12516013,Teknik Metalurgi,Asisten Manager,,ya,item4,4,C,Ikatan Mahasiswa Metalurgi ITB,3.61,"Mengajar kepada pihak lain yang membutuhkan, melakukan santunan/donasi kepada pihak yang membutuhkan",4
12516014,Teknik Metalurgi,Informasi Teknologi,,tidak,,4,K,Ikatan Mahasiswa Metalurgi ITB (IMMG ITB),3.4,"Berdiskusi, Belajar memimpin dan mengorganisir suatu acara, acara keilmuan",4
12516017,Teknik Metalurgi,-,-,tidak,item5,4,S,IMMG,3.26,-,4
12516020,Teknik Metalurgi,Project Engineer,,tidak,,4,C,IMMG,3.34,"Mengajar di panti, diskusi dalam grup",4
12516021,Teknik Metalurgi,"Jr Process Engineer: Analisis problem, Maintain production and target, Developing project","Menganalisis proses, Mengeksekusi kegiatan rutin, Mengembangkan proyek, Menjaga sistem berjalan normal",ya,,5,C,Ikatan Mahasiswa Metalurgi (IMMG),3.56,Kajian dan Studi,2
12516022,Teknik Metalurgi,Manajement Trainee,Bekerja di lapangan untuk mempelajari aspek-aspek dan cara kerja saat produksi di perusahaan.,ya,sangat erat,4,C,MBWG,,"Latihan memainkan alat musik, menjadi staff badan pengurus organisasi.",4
12516025,Teknik Metalurgi,Distributed Control System Crew,,ya,erat,4,C,Ikatan Mahasiswa Metalurgi (IMMG),,Presentasi Program kerja & Laporan pertanggungjawaban yang dapat mengasah kemampuan publik speaking ,5
12516027,Teknik Metalurgi,Metallurgy Project Technical Service for Tujuh Bukit Copper Project,"Membantu menyelesaikan PFS Tujuh Bukit Copper Project. Termasuk membantu mereview PFD, PDC, PCD, MEL, Recovery Model, dan studi Geometallurgy.",ya,item1,5,B,IMMG (Ikatan Mahasiswa Metalurgi) ITB,3.58,"Membuat program kerja, rapat bidang keprofesian, laporan pertanggungjawaban akhir kepengurusan",4
12516028,Teknik Metalurgi,Data Engineering,"Membuat automasi metrics report
Merancang Data Pipeline
Melakukan Data Modelling",tidak,item4,4,G,IMMG,3.63,Pengembangan Keprofesian,4
12516031,Teknik Metalurgi,Pengajar/ tutor,,tidak,item5,4,P,Ikatan Mahasiswa Teknik Metalurgi ITB (IMMG ITB),3.7,"Kemampuan sosial, kemampuan berpikir kritis, penyelesaian masalah, komunikasi dan kepemimpinan",4
12516033,Teknik Metalurgi,Research and Development,"1. Melakukan test work metalurgi terutama hidrometalurgi
2. Membuat laporan test work metalurgi
3. Memimpin beberapa anggota divisi 
4. Membuata perencanaan minggu, bulanan, tahunan
5. Menjadi jembatan komunikasi antara manajemen dan client test work di laboratorium",ya,item1,5,B,IMMG ITB,3.6,"Update Database Alumni, Perkenalan program studi Teknik Metalurgi ke SMA di Bandung",5
12516035,Teknik Metalurgi,Management Trainee,"Project Management
Process Improvement
Data Analytics ",tidak,item5,4,K,-,3.43,-,5
12516036,Teknik Metalurgi,Pengawas,Production Group Leader,tidak,item3,4,B,"GAMAIS, IMMG",3.3,Komunikasi,2
12516037,Teknik Metalurgi,Engineering,Menjadi Engineering,ya,item1,4,C,"Unite keagamaan, Kesenian dan kebudayaan dan paguyuban daerah",3.41,"Unit Keagamaan, dan kesenian dan kebudayaan",2
12516040,Teknik Metalurgi,Business Development (E-commerce : Jasa dan Teknologi),"Business development dan analyst :
- Maintain relationship antara client dengan perusahaan
- Membuat rencana/planning untuk client bisa mencapai target sales 
- Menganalisis kebutuhan client untuk berkembang
- Berpikir kritis dalam memecahkan masalah-masalah yang dihadapi oleh client
- Memegang project P0 (impact utama ke monetisasi perusahaan dan departemen) ",tidak,item5,2,S,Unit Tenis ITB,3.76,"Project Manager M2C ITB 2019 > mengasah leadership, kemampuan manage sebuah event besar, dan plan strategi untuk targeted event; BP Unit Tenis ITB (MEDKOMINFO) > mengasah kemampuan leadership, membuat jalur komunikasi yang interaktif dan efektif untuk anggota unit",4
12516041,Teknik Metalurgi,Manajemen Produksi,"Saya bekerja sebagai Asisten Manajer Produksi di Manufaktur Perhiasan Emas & Berlian,  tugas utama saya:
1. Melakukan analisis, perencanaan, dan pelaksanaan produksi perhiasan untuk mencapai target perusahaan
2. Berkoordinasi dengan anggota tim untuk memastikan proses produksi selesai tepat waktu sesuai prioritasnya
3. Membuat dan memelihara laporan produksi",ya,item3,4,C,Ikatan Mahasiswa Metalurgi (IMMG ITB),3.57,"Merancang, mengeksekusi dan mengatur program acara himpunan",5
12516043,Teknik Metalurgi,Analis,Analisa kebutuhan bisnis dalam pengimplementasian kedalam sistem,tidak,item3,4,K,IMMG,3.34,Pelatihan ,4
12516044,Teknik Metalurgi,Business development,Business Development,ya,,2,B,IMMG,3.63,Parade wisuda,4
12516047,Teknik Metalurgi,Analyst,"mengerjakan project berkaitan dengan bidang metalurgi, melakukan analisis data untuk pembuatan dokumen seperti feasibility study pembangunan pabrik nikel, market & scoping study untuk industri nikel, atau kajian kebijakan bersama kemenko marves, dan pekerjaan lainnya",ya,item3,4,S,Ikatan Mahasiswa Teknik Metalurgi,3.04,Himpunan,4
12516048,Teknik Metalurgi,Quality design,Merancang proses dan parameter untuk mendapatkan hasil yg sesuai dengan standar atau kebutuhan customer,ya,item1,5,C,Kabinet KM-ITB dan IMMG ITB,3.51,Menghimpun aspirasi mahasiswa antar jurusan dengan background dan culture yg berbeda,5
12516049,Teknik Metalurgi,Inovasi,Merancang inovasi pengembangan bisnis baru,tidak,,4,I,Kabinet KM ITB,3.53,Ospek Jurusan dan Kampus,4
12516051,Teknik Metalurgi,Industrial Technology,meningkatkan produktivitas pabrik ,tidak,item4,4,C,UKM,3.51,"Waktu latihan yang terbilang cukup sering (2 minggu sekali), menjadi bagian dari badan pengurus, menjadi panitia dalam kegiatan UKM",5
12516052,Teknik Metalurgi,Production Planning and Inventory Control,"Melakukan planning Inventory, Material Requirement Planning, Pengecekan stock dan pengalokasian stock, ",tidak,,4,C,IMMG ITB,3.5,diskusi keilmuan dan keprofesian,4
12516054,Teknik Metalurgi,Marketing,Membangun relasi dengan nasabah dan menyalurkan produk perbankan dan modal kerja,tidak,item4,4,K,Uksu itb,2.93,"PPAB, Badan Pengurus, Leadership",2
12516056,Teknik Metalurgi,,Sebagai Engineering dan Quality Assurance,,,2,,IMMG ITB,3.27,Jadi Ketua Wisuda,2
12516057,Teknik Metalurgi,Procurement Engineering,procurement ,tidak,item2,2,C,Ikatan Mahasiswa Metalurgi ITB,3.43,Kepanitiaan,4
12516058,Teknik Metalurgi,Produk dan jasa konsultasi pelapisan dan antikarat,"1. Penasihat untuk hal-hal teknis terkait coating dan anti-korosi aset klien.
2. Memecahkan kasus, deviasi yang terjadi, dan masalah yang berkaitan dengan surface preparation, paint application, dan coating failure melalui investigasi komprehensif: inspeksi, survei lapangan, studi literatur, konsultasi, dan analisis data
3. Support tim sales dengan menyediakan data kompetisi pasar di lapangan berdasarkan survei customer dan site visit. Dengan begitu juga membangun dan mempertahankan relasi dengan klien untuk kerja sama jangka panjang",ya,item1,2,F,PERCAMA,3.19,Turnamen Nasional,2
12516059,Teknik Metalurgi,-,"Konsultan Keuangan
Menyusun skema restrukturisasi perusahaan-perusahaan",tidak,item5,4,M,ITB Student Orchestra,3.59,Semua kegiatan organisasi mengasah social skill,2
12516060,Teknik Metalurgi,Management Trainee,"Management Trainee
- Belajar hardskill dan softskill terkait industri pertambangan
- Melakukan Job rotation ke anak-anak perusahan untuk belajar bisnis proses, menyelesaikan proyek, dan mengasah interpersonal skill",ya,item1,5,B,Ikatan Mahasiswa Metalurgi ITB (IMMG ITB),3.81,"Perencanaan program kerja, Panitia lomba, Panitia seminar, Panitia kaderisasi mahasiswa, dll.",4
12516061,Teknik Metalurgi,"Penelitian, manajemen proyek, analisa data",,tidak,item4,4,S,"IMMG ITB, Kongres KM-ITB",3.12,"Kepanitiaan OSKM, Kepanitiaan Parade Wisuda, IMMG ITB, Kongres-KM ITB",2
12516062,Teknik Metalurgi,Metallurgical Engineer,Analisis performa flotation plant untuk menghasilkan copper concentrate sesuai target.,ya,item1,5,B,Ikatan Mahasiswa Teknik Metalurgi ITB,3.49,"Merancang AD ART, melaksanakan Pemilu, diskusi internal himpunan",5
12516065,Teknik Metalurgi,-,"Project Development work : legal, technical, financial 
Coordination, communication, controlling with third party and partners.
Develop and coordinate team for laboratory and operation complex facility at site location.",ya,item3,4,C,IMMG,3.89,"Kuliah Tamu, FGD, Alumni Talks",4
12516067,Teknik Metalurgi,,People management,,,1,,Tidak ada,3.32,Tidakada,1
12516068,Teknik Metalurgi,Management Trainee,Management Trainee Pertambangan Batubara,ya,,4,B,Ikatan Mahasiswa Metalurgi (IMMG),3.31,Perkumpulan,5
12516069,Teknik Metalurgi,Engineer,,ya,item1,4,B,IMMG,3.74,IMMG,4
12816001,Meteorologi,Tenaga Ahli Pemetaan,Pemetaan Kajian Risiko Bencana,ya,,2,M,"HMME ""Atmosphaira"" ITB",3.19,-,1
12816002,Meteorologi,Managerial,Managerial suatu cabang,tidak,item5,4,S,Ukm itb,3.2,BP 2018 2019,4
12816003,Meteorologi,komputer,web scrapping,tidak,,2,J,HMME,3,parade wisuda,1
12816008,Meteorologi,Admin,,tidak,item3,4,P,Himpunan,3.35,Organisir kegiatan spt wisuda,2
12816011,Meteorologi,Teller,"Pelayanan, pemasaram",tidak,item5,2,K,Unit Kesenian Minangkabau,3.08,"Kepanitian PPAB, Dies Natalis",2
12816012,Meteorologi,"Data science, Data analytics, Data engineering, Market research ",Data science tentang market,tidak,item5,1,K,Persma,3.03,"Critical thinking, problem solved",2
12816016,Meteorologi,Sustainability,sustainability departmen,tidak,,1,A,PSHT ITB,3.22,Kepanitiaan ,1
12816018,Meteorologi,Data Analyst,"Data Anlyst, bertugas untuk memberikan report terkait data penjualan, customer dll dan memastikan data yang diberikan valid",tidak,,2,S,"HMME ""Atmosphaira"" ITB",3.32,Kegiatan dalam melaksanakan dan mengorganisasi sebuah acara juga kegiatan,4
12816020,Meteorologi,Konsultan,Konsultan dalam bidang hidrologi,ya,,4,F,Himpunan Mahasiswa Meteorologi,3.02,Olahraga,2
12816022,Meteorologi,Manajemen,"Business development
Manager Operational
",tidak,,1,S,HMME Atmoshpaira ITB,2.93,"Kaderisasi, Muker himpunan, Rapat Pimpinan Himpunan",1
12816023,Meteorologi,Manajemen,Manajemen proyek,tidak,item4,1,J,Himpunan Mahasiswa Meteorologi ITB,3.37,Tidak ada,1
12816024,Meteorologi,Renewable energy,,ya,item1,4,M,"GAMAIS ITB, FBM ITB",3.51,Pengurus utama organisasi(menyusun dan menjalankan program),4
12816025,Meteorologi,IT,LEADER FOR PROJECT,tidak,,2,J,HMME,3.56,KEGIATAN HIMPUNAN,2
12816026,Meteorologi,Data Analyst,Bekerja sebagai data analysis,tidak,item4,4,Q,HMME,3.19,Manajemen,4
12816027,Meteorologi,Staff,Kontribusi dalam pengembangan proyek energi terbarukan sebagai project developer dan independent power producer dari sisi teknis dan keekonomian proyek juga hubungan dengan pihak ketiga.,ya,item4,2,D,Himpunan Mahasiswa Meteorologi ITB & Unit Aktivitas Bridge ITB,3.53,"Diskusi sehari hari, diskusi keilmuan, forum organisasi, kepanitiaan dan badan pengurus, perlombaan",5
12816029,Meteorologi,Paid Ads Relationship Manager,"â–ªï¸Ž Develop and maintain a close relationship with sellers
â–ªï¸Ž Analyze seller's Paid Ads performance to see opportunities to drive transaction and revenue performance
â–ªï¸Ž Develop proposed ideas and strategic initiatives for sellers through pitching and presentations
â–ªï¸Ž Conduct Paid Ads performance review with sellers 
â–ªï¸Ž Effectively and accurately respond and resolve inquiries, request, and complaints related to Paid Ads ",tidak,item5,4,S,Keluarga Paduan Angklung (KPA) & Himpunan Mahasiswa Meteorologi (HMME),3.22,Menjadi Badan Kepengurusan,2
12816030,Meteorologi,Analisis data,"Membuat dan menganalisa beberapa laporan seputar profil liquiditas perusahaan, seperti liquidity profile, NCO, LCR & NSFR, Funding Concentration Risk Tracker, Dashbord dll.",tidak,,4,S,Unit kesenian minangkabau,3.1,Menjadi badan pengurus,4
12816031,Meteorologi,Project Management and Organization Development,Project Manager Research and Development,tidak,item5,2,T,"UKM, HMME Atmosphaira",2.87,Himpunan Mahasiswa Meteorologi Atmosphaira,1
12816032,Meteorologi,Front End Developer,"membuat website dan aplikasi, optimasi dan maintenance website dan aplikasi yang sudah ada",tidak,item4,2,S,Himpunan Mahasiswa Meteorologi ITB,3.68,"Membuat acara seminar/perlombaan, menjadi ketua divisi",4
12816033,Meteorologi,,Mengelola penjualan ,,,2,,HMME,3.08,"Zepyhrus, LKO",2
12816034,Meteorologi,Meocean Data Aanalysis,metocean data analysis,ya,,4,S,HMME Atmosphaira,3.59,"tutorial, kopi sore/diskusi bersama alumni",4
12816036,Meteorologi,Product Manager,"membuat product roadmap, analisis requirement, develop product",tidak,item5,4,G,Kabinet KM ITB,3.83,rapat koordinasi & kepanitiaan,4
12816038,Meteorologi,Data Science,Melakukan analisis data terhadap data perbankan,tidak,,2,K,Infinity ITB,3.3,Workshop pengembangan diri terutama dalam himpunan mahasiswa,1
12816040,Meteorologi,Meteorologi dan Business Development,"â€¢	Person in charge of company participation in tenders and work appointments, branding, and communication activities. 
â€¢	Part of technical and operation team in various projects and product innovations.
",ya,,5,M,"HMME ""Atmosphaira"" ITB",3.27,Diskusi dan evaluasi,4
12816043,Meteorologi,Digital Marketing,digital marketing specialist,tidak,,4,I,Himpunan Mahasiswa Meteorologi ITB,2.94,Menjadi ketua tim/divisi,1
12816044,Meteorologi,Product Development,,tidak,item5,4,M,HMME,3.17,"Berbincang bersama alumni, latihan menggunakan software dan coding",2
12916002,Oseanografi,Data Science,,tidak,item4,4,K,Rumah ASIK,3.42,Stress Management,4
12916004,Oseanografi,Marketing,"Mencari serta mengambil informasi sehari-hari yang jelas dan relevan dengan pasar perusahaan, dikumpulkan dan dianalisis secara khusus untuk tujuan yang akurat dan percaya diri pengambilan keputusan dalam menentukan peluang pasar, strategi penetrasi pasar, pengembangan pasar dan metrik. ",tidak,cukup erat,4,A,Unit Kebudayaan Jepang,,Berinteraksi dengan pihak eksternal (public relation) ,2
12916005,Oseanografi,Lembaga Pembiayaan,Analisis data dan mengubahnya menjadi prospek bisnis,tidak,item4,4,K,"Himpunan Mahasiswa Oseanografi ""TRITON"" ITB",3.58,"Himpunan Mahasiswa Oseanografi ""TRITON"" ITB",2
12916006,Oseanografi,Data Processor,Saya bekerja di kontraktor oil and gas sebagai MBES Data Processor/Surveyor. Tugas utama saya adalah menyajikan data kedalaman laut. ,ya,item4,2,D,HMO Triton,3.28,-,1
12916010,Oseanografi,Operations,Project Management on Banking Operations,tidak,item5,4,K,Himpunan Mahasiswa Oseanografi dan Unit ISH Tiang Bendera,3.33,Diskusi dan praktik lapangan,1
12916012,Oseanografi,Engineer,"Modeller arus, gelombang
Desain breakwater, causeway, revetment, dll",ya,item1,4,F,"HMO ITB, UKA ITB",3.35,Kepanitiaan acara,2
